1006,1030
454,941
210,476
584,601
113,895
437,651
734,910
863,596
876,981
597,576
912,975
37,582
611,580
445,956
210,280
769,483
217,156
580,880
242,169
203,194
782,886
636,613
509,900
111,733
763,449
587,521
722,1012
615,382
726,870
727,610
265,197
597,827
162,817
735,488
113,588
183,664
494,927
856,515
821,620
365,967
258,138
667,828
215,703
310,578
128,461
521,790
655,950
383,570
537,882
216,667
45,726
601,809
222,357
632,816
553,773
622,809
46,223
598,551
439,665
363,495
149,406
638,871
216,781
198,211
191,893
286,529
54,449
821,879
555,865
183,573
389,986
639,579
309,241
837,597
118,621
353,530
128,765
737,970
142,596
92,942
230,608
35,290
122,485
196,321
137,276
673,785
818,965
878,943
166,372
731,945
665,949
767,953
111,275
690,886
216,555
735,932
189,588
750,516
678,459
301,175
147,120
174,470
693,736
470,649
550,360
190,815
318,495
665,999
112,538
335,354
31,402
334,1155
226,588
234,652
227,481
413,729
112,747
571,719
715,457
874,508
421,877
178,266
181,719
268,248
765,971
88,790
222,853
394,360
661,798
66,1007
246,279
637,535
453,815
266,591
112,566
786,802
472,817
556,1065
212,437
95,210
234,911
670,843
623,494
334,418
724,754
554,616
574,640
167,491
458,789
808,687
319,163
774,674
295,128
114,522
130,39
217,408
379,705
581,765
86,229
339,837
718,835
49,525
29,523
757,927
508,759
436,616
428,859
669,442
49,942
827,935
366,371
257,633
124,254
189,748
345,1036
224,867
384,93
527,905
430,578
232,406
58,487
703,814
388,430
295,132
61,167
775,875
193,913
761,1010
376,998
306,550
418,934
364,640
507,954
166,282
228,499
492,1036
425,557
185,527
85,768
650,808
236,561
277,899
126,653
225,1169
132,324
877,956
23,553
325,467
92,1039
119,496
462,602
333,781
413,941
144,251
582,368
140,914
561,881
455,1056
94,308
761,657
251,660
269,777
707,554
238,1323
66,470
22,843
492,779
137,567
191,448
169,93
501,531
654,420
372,716
701,669
122,634
703,862
299,976
813,662
39,904
276,735
680,1041
336,1011
712,955
49,507
80,347
626,923
180,77
760,846
441,755
14,587
761,795
672,764
331,601
82,117
413,905
341,569
341,499
54,963
246,1188
582,843
85,231
560,987
123,917
215,733
283,941
129,990
56,534
405,408
146,932
603,859
859,667
467,92
234,389
71,768
73,1035
224,282
830,546
639,517
543,846
122,919
370,584
70,276
392,620
90,103
121,51
601,375
609,669
39,265
328,627
736,567
720,836
789,784
224,310
601,733
692,792
125,334
115,1004
347,909
773,522
418,579
343,874
485,545
635,876
207,309
469,906
88,357
178,354
826,577
688,758
230,623
746,538
145,847
209,46
330,745
342,567
327,701
345,705
788,957
698,872
149,302
534,361
139,1111
534,1086
411,1041
800,594
864,628
51,198
703,910
476,575
642,1022
446,579
137,135
172,615
462,370
190,866
739,896
843,814
260,609
795,883
610,902
692,577
849,758
783,818
153,618
745,710
832,519
78,696
687,838
851,738
416,519
659,564
